filename,reading_order,reading_order_ned
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-17/72e7afcb113e49363d6fd8fe2aa43d3e7364-17.md,0.6922,0.3078
eval_split/fail/processed_00_documents_eval/2e36/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10.md,0.718,0.282
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3.md,0.4222,0.5778
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5.md,1.0,0.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6.md,0.7506,0.2494
eval_split/fail/processed_00_documents_eval/2eef/968c28dac8b9edefa69276be2c0268f5c1bf-1/968c28dac8b9edefa69276be2c0268f5c1bf-1.md,0.6583,0.3417
eval_split/fail/processed_00_documents_eval/301a/4279eb95686d90eff41110b9720cb53304d0-25/4279eb95686d90eff41110b9720cb53304d0-25.md,0.9762,0.0238
eval_split/fail/processed_00_documents_eval/30c3/fc1826e230047b36cad79a7bd63296dd3591-1/fc1826e230047b36cad79a7bd63296dd3591-1.md,0.6497,0.3503
eval_split/fail/processed_00_documents_eval/30d2/90881f610f14dd10f73a036c5c30762c5814-1/90881f610f14dd10f73a036c5c30762c5814-1.md,0.6486,0.3514
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-1/69cfda07ee3b22dcd97df06f44b767b9127e-1.md,0.6109,0.3891
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-2/69cfda07ee3b22dcd97df06f44b767b9127e-2.md,0.8925,0.1075
eval_split/fail/processed_00_documents_eval/3489/dfefa5cae8d7389f264f30628a11a5993e29-1/dfefa5cae8d7389f264f30628a11a5993e29-1.md,0.8252,0.1748
eval_split/fail/processed_00_documents_eval/34e6/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1.md,0.8764,0.1236
eval_split/fail/processed_00_documents_eval/3563/9b84c9f46cf886987dba1cee51078b7098df-2/9b84c9f46cf886987dba1cee51078b7098df-2.md,0.7432,0.2568
eval_split/fail/processed_00_documents_eval/35c4/635ad9c58f846d822f6a9ffbfef242f4344c-1/635ad9c58f846d822f6a9ffbfef242f4344c-1.md,0.7145,0.2855
eval_split/fail/processed_00_documents_eval/3793/1e2826f5d572ae2249080383652aac2060f4-4/1e2826f5d572ae2249080383652aac2060f4-4.md,0.6787,0.3213
eval_split/fail/processed_00_documents_eval/38a0/5f1430018686fe1b9005fe5ffdefb0caa5bf-5/5f1430018686fe1b9005fe5ffdefb0caa5bf-5.md,0.8627,0.1373
