filename,table_struct_p,table_struct_r,table_struct_f1,table_struct_avg_sim,table_semantic_p,table_semantic_r,table_semantic_f1,table_semantic_avg_sim
eval_split/fail/processed_00_documents_eval/5814/d65c0b0948220abc02fb6714865e628ceb70-3/d65c0b0948220abc02fb6714865e628ceb70-3.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/5860/e964d37b5992dcfc2255bfe9e3a054cab430-1/e964d37b5992dcfc2255bfe9e3a054cab430-1.md,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3622
eval_split/succes/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-1/db669daf7d99d762eb952d64d207e27fef79-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-1/277a4d753f9de0d8a9155e6d13ad749ea05d-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/1121/bab8f0f7ae7c09f6f6673d363a862c6a3cc1-3/bab8f0f7ae7c09f6f6673d363a862c6a3cc1-3.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/14d0/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-2/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/19e0/782bf72ebc90516e87030ef592549551f151-1/782bf72ebc90516e87030ef592549551f151-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/1af2/661ef31d843054c2148cd5294e11e16e7478-13/661ef31d843054c2148cd5294e11e16e7478-13.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/22be/c390cc0b5632f168415635c6af8a36a8833c-4/c390cc0b5632f168415635c6af8a36a8833c-4.md,0.0,0.0,0.0,0.0826,0.0,0.0,0.0,0.0114
eval_split/succes/processed_00_documents_eval/22d6/4b9b312f8e52a78068c20288594c2ab007d4-1/4b9b312f8e52a78068c20288594c2ab007d4-1.md,0.5,1.0,0.6667,0.7765,0.5,1.0,0.6667,0.9136
eval_split/succes/processed_00_documents_eval/244d/fa2d6b2d14c67ee657861d46ddc23f70159a-35/fa2d6b2d14c67ee657861d46ddc23f70159a-35.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/26e2/b564122a172b801ef5f2ca26653664119060-1/b564122a172b801ef5f2ca26653664119060-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/3489/dfefa5cae8d7389f264f30628a11a5993e29-6/dfefa5cae8d7389f264f30628a11a5993e29-6.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/34e6/de6b9c2242fe22a4a80438a3b92caa9f0ed3-2/de6b9c2242fe22a4a80438a3b92caa9f0ed3-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/3c1b/cfb3c555afe824df9292b45b1dca2beee901-202/cfb3c555afe824df9292b45b1dca2beee901-202.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989
eval_split/succes/processed_00_documents_eval/43ba/b1d886a2b8e5371b39e1e18d9a044ed52bbd-3/b1d886a2b8e5371b39e1e18d9a044ed52bbd-3.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/succes/processed_00_documents_eval/482e/5bf832af1a76f62d7f4de24de3976c29c720-93/5bf832af1a76f62d7f4de24de3976c29c720-93.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925
eval_split/succes/processed_00_documents_eval/4a62/73312d1fe723314088e8a1916bcfc3c1b5eb-65/73312d1fe723314088e8a1916bcfc3c1b5eb-65.md,1.0,1.0,1.0,0.9411,1.0,1.0,1.0,0.9508
eval_split/succes/processed_00_documents_eval/4c7c/44ceb12d4eeb6d4922de85dcf4b0f54e6879-1/44ceb12d4eeb6d4922de85dcf4b0f54e6879-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/succes/processed_00_documents_eval/5128/d86f1398dde4792a4c5e60eec529855a5ab4-4/d86f1398dde4792a4c5e60eec529855a5ab4-4.md,0.0,0.0,0.0,0.4737,0.0,0.0,0.0,0.1212
