filename,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
eval_split/fail/processed_00_documents_eval/526a/07dda0cdd0296e750b6577f850f5b7828520-1/07dda0cdd0296e750b6577f850f5b7828520-1.md,0.6,0.0,1.0945,0.0,1.0945,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/52b6/a22e645fc7d6b8845d9b5bd45539fe0606de-1/a22e645fc7d6b8845d9b5bd45539fe0606de-1.md,0.7833,0.4576,0.5424,0.4589,0.5411,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/5778/f9aec7657b8acddefa1f2edbc08cadc215ef-1/f9aec7657b8acddefa1f2edbc08cadc215ef-1.md,0.8385,0.5848,0.4152,0.6075,0.3925,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/5778/fce5255f7600be333ae8ffa8d4c177ba6a08-2/fce5255f7600be333ae8ffa8d4c177ba6a08-2.md,0.2,0.0,1.9997,0.0,1.9997,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/57e3/4116b3c645ed254bba9bc39841c7304114fa-95/4116b3c645ed254bba9bc39841c7304114fa-95.md,0.8097,0.5243,0.4757,0.5243,0.4757,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/5814/d65c0b0948220abc02fb6714865e628ceb70-3/d65c0b0948220abc02fb6714865e628ceb70-3.md,0.8852,0.7243,0.2757,0.7243,0.2757,1.0,0.9774,1.0
eval_split/fail/processed_00_documents_eval/584f/c1fb77161923c548844c60a9f030f05b0bc3-4/c1fb77161923c548844c60a9f030f05b0bc3-4.md,0.6472,0.1179,0.8821,0.1179,0.8821,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/584f/c1fb77161923c548844c60a9f030f05b0bc3-9/c1fb77161923c548844c60a9f030f05b0bc3-9.md,0.882,0.7051,0.2949,0.7051,0.2949,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/5860/e964d37b5992dcfc2255bfe9e3a054cab430-1/e964d37b5992dcfc2255bfe9e3a054cab430-1.md,0.6769,0.389,0.611,0.389,0.611,1.0,0.6062,1.0
eval_split/succes/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-1/db669daf7d99d762eb952d64d207e27fef79-1.md,0.5387,0.8467,0.1533,0.8467,0.1533,0.0,0.0,1.0
eval_split/succes/processed_00_documents_eval/050f/87a50797de9b4e4f1ae18a0c23227a5d4891-2/87a50797de9b4e4f1ae18a0c23227a5d4891-2.md,0.8613,0.6571,0.3429,0.6493,0.3507,1.0,1.0,1.0
